milestone,id,parent,track,owner,status,start,end,task
M8,13.2,13,Client/Pro,André,In progress,2026-08-01,2026-10-31,"Pagine servizio x citta'. FATTO il 10/08: rotta /servizi/{servizio}/{citta} per le sole citta' attive (le non attive restano sulla waitlist di /citta/[slug] per non fare doorway page), fascia di prezzo reale dalle tariffe dichiarate, JSON-LD Service+AggregateOffer+BreadcrumbList, parametri di ranking dichiarati in pagina (P2B art. 5), sitemap con le sole combinazioni che hanno almeno un professionista, link interni da /servizi/[slug] e /citta/[slug]. RESTA: ottimizzazione keyword sui title, contenuto locale unico per citta' (SEO.md §5.6) e le categorie core di Milano - oggi le combinazioni reali sono 5 e tutte a Milano, con UN professionista ciascuna: 5 professionisti in tutta la piattaforma, 3 verificati. CORREZIONE al messaggio del commit 4587dd1, che diceva 'pulizie 4 pro': erano 4 righe di professional_services, cioe' 4 sottoservizi dello stesso professionista, non 4 persone. La leva vera e' l'acquisizione (M8/30), non altro codice."
M8,14,,Shared,,Open,2026-11-01,2026-12-31,Google Business Profile + local presence
M8,15.1,15,Shared,,Open,2026-12-01,2026-12-15,"End-to-end QA of all flows (client, pro, admin)"
M8,15.2,15,Client/Pro,André,Open,2026-12-01,2026-12-20,Performance / Core Web Vitals pass
M8,15.3,15,Shared,,Open,2026-12-01,2026-12-20,Freelance security review (pre-launch)
M8,30,,Shared,,Open,2026-10-01,2027-03-31,Founder outreach — first 100 Milano pros
M8,N11,,Shared,Lucio,Open,2026-12-01,2026-12-31,Go-live checklist + a tested rollback (the written-down half of 15.5)
M8,15.6,15,Client/Pro,André,Open,2026-11-01,2026-12-31,"Estendere BobDot/BobBullet (src/components/ui.tsx, introdotti l'08/08) agli elenchi decorativi rimasti: empty state della dashboard, FAQ, pagine legali, ProWorkspace. Il pallino giallo e' l'unico segno di marca riconoscibile a colpo d'occhio; oggi vive su homepage e pagina pro. NON toccare i middot fra dati ('10:00 - Mario Rossi'): li' il separatore serve a leggere."
M9,16.1,16,Shared,,Open,2027-01-01,2027-01-31,Production cutover; activate founding pros (60-80) in 5 core categories
M9,16.2,16,Shared,,Open,2027-01-01,2027-01-31,Bob Pro subscriptions live (Stripe) + Boost on; launch PR wave
M9,31,,Shared,,Open,2027-01-01,2027-03-31,Launch incentives (3 months free Bob Pro for founding pros)
M9,32,,Shared,,Open,2027-01-01,2027-06-30,Paid ads ignition — Milano only (CAC < EUR25 Q1)
M9,33,,Shared,,Open,2027-01-01,2027-03-31,PR launch ('AI concierge che trova il professionista giusto con prezzi chiari')
L1,24,,Shared,,Open,2026-09-01,2026-10-31,"Trademark 'Bob' (UIBM/EUIPO, classes 35, 42)"
L1,26,,Shared,,Open,2026-12-01,2027-02-28,SRL incorporation (Q1 Year 1)
L1,27,,Shared,,Open,2027-04-01,2027-06-30,Finanza agevolata application (Q2 Year 1)
L1,28,,Shared,,Open,2027-05-01,2027-09-30,Garanzia Bob legal framework + payments compliance (Stripe Connect KYC)
L2,13,,Client/Pro,André,In progress,2026-08-01,2027-12-31,SEO content engine (ongoing)
L2,13.3,13,Client/Pro,André,Open,2026-10-01,2027-03-31,'Quanto costa' price guides; Roma+Torino pages before activation
PARK,17,,Client/Pro,André,Parked,,,Unlimited requests (subscribers) + digital quotes
PARK,17.1,17,Client/Pro,André,Parked,,,Free-tier request limits + upgrade paywall
PARK,17.2,17,Client/Pro,André,Parked,,,Quote builder for pros + client quote comparison + accept flow
PARK,18,,Shared,,Parked,,,Security audit (gate before payments)
PARK,19,,Client/Pro,André,Parked,,,Protected flow — payments + Garanzia Bob
PARK,19.1,19,Client/Pro,André,Parked,,,"Stripe Connect: deposit/escrow, payouts; dispute + mediation tooling"
PARK,19.2,19,Client/Pro,André,Parked,,,Verified reviews tied to protected jobs; 8% success fee billing
PARK,20,,Shared,,Parked,,,Roma + Torino activation
PARK,21,,Shared,,Parked,,,"Bologna, Firenze, Napoli activation"
PARK,22,,Shared,,Parked,,,National infrastructural opening (organic only)
PARK,34,,Shared,,Parked,,,Pro referral program + territorial partnerships
PARK,36,,Internal,Lucio,Gate,,,"End-Q1 2027: 60-80 active pros, 150+ req/mo, match >60%"
PARK,37,,Internal,Lucio,Gate,,,"End-2027: 600 pros, 1,500 req/mo, 25% protected-flow, CAC < EUR15"
PARK,38,,Client/Pro,André,Parked,,,Business accounts — multi-employee organizations (manage workers + appointments)
PARK,38.0,38,Shared,André,Parked,,,"Design spike: org data model — DECIDED, see docs/Bob_Business_Accounts_Design_Spike.md (Bundle 2, additive; workers-as-records; company assigns)"
PARK,38.1,38,Client/Pro,André,Parked,,,organizations + organization_members + roles (owner/admin/worker); RLS pool model via is_org_member(); retention + deletion path
PARK,38.2a,38,Client/Pro,André,Parked,,,Worker-level scheduling: per-worker availability + assignment + DB overlap constraint (btree_gist exclude); company assigns
PARK,38.2b,38,Client/Pro,André,Parked,,,Communication step 1 (office-as-hub): company identity + worker attribution (sender_member_id); dispatcher messages/reschedules for worker
PARK,38.3,38,Internal,Lucio,Parked,,,"Business onboarding + docs: company VAT/visura verification, seat management (extends #10)"
PARK,38.4,38,Client/Pro,André,Parked,,,Multi-seat Business billing — per-seat via Stripe quantity (extends #12)
PARK,38.5,38,Shared,Lucio,Parked,,,Compliance: employer-as-controller DPA + RoPA rows; Platform Work Directive / Annex III scope check
PARK,38.6,38,Client/Pro,André,Parked,,,"Step 2 (PILOT-GATED, form TBD): scoped worker access — per-job magic link or limited login; least-privilege RLS"
PARK,39,,Client/Pro,André,Parked,,,"Two-way reviews — business to client reliability signal (PRIVATE, not public consumer scores)"
PARK,39.0,39,Shared,Lucio,Parked,,,DPIA + LIA + policy: private reliability signal; retaliation guard; Art 22 no auto-exclude; transparency + right to object
PARK,39.1,39,Client/Pro,André,Parked,,,Schema: customer reliability ratings tied to completed appointment/request; RLS; de-identify on deletion
PARK,39.2,39,Client/Pro,André,Parked,,,Pro UI to rate reliability; customer transparency + right-to-reply; align with verified reviews #19.2
PARK,40,,Client/Pro,André,Parked,,,Parking & vehicle-access metric (can my car reach the address? parking nearby?)
PARK,40.0,40,Client/Pro,André,Parked,,,Address geocoding enabler (address to coarse zone; maps vendor DPA/EU) — prerequisite
PARK,40.1,40,Client/Pro,André,Parked,,,"ZTL / Area B & C vehicle-access checker (vehicle emission class + Milan zone rules) — deterministic, high value for out-of-town pros"
PARK,40.2,40,Client/Pro,André,Parked,,,Parking-difficulty index + nearby paid-garage links (research spike first; real-time free-spot count not feasible)
PARK,40.3,40,Client/Pro,André,Parked,,,Map of the day itinerary in the pro calendar (pins in time order) — depends on 40.0 geocoding + vendor DPA
PARK,10.11,10,Shared,Lucio,Gate,,,"DECISIONE: cosa sblocca il livello — categorie con gate al contatto, durata, peso nel ranking, cosa puo' fare un Iscritto (doc §6). Parcheggiata il 14/08 (da decidere con André, data da destinarsi). NOTA 14/08 sera: una parte e' stata di fatto decisa da Lucio col nuovo onboarding — la verifica P.IVA e' ora ESCLUSIVA dei piani a pagamento (Pro/Business), il Free non la vede. Da ratificare con André insieme al resto della decisione."
M6,N12,,Internal,Lucio,Open,2026-09-01,2026-11-30,"La cancellazione account deve svuotare anche la cartella <user_id>/ del bucket verifica-documenti: le righe di verification_documents cadono a cascata (FK), i FILE nello storage no. Registrato come punto 8 delle lacune ROPA. Regola di progetto: ogni tabella nuova ha un percorso di cancellazione — per lo storage va costruito."
M4,AREA1,,Client/Pro,Claude,In progress,2026-08-19,2026-08-31,"Area personale: LAVORO e IMPOSTAZIONI separati (revisione di Lucio del 19/08 pomeriggio - ""sono 2 robe diverse""). Nella prima versione tutto stava sotto /dashboard e la barra laterale metteva ""Oggi"" accanto a ""Accesso e sicurezza"": il lavoro di ogni giorno sulla stessa fila di cose che si aprono due volte l'anno. Ora /dashboard e' SOLO lavoro (pro: richieste, calendario, giornata; cliente: lavori in corso, appuntamenti, e un bottone per cercare un professionista) e le 9 sezioni di configurazione vivono sotto /impostazioni con un guscio proprio, che in cima ha il ritorno al lavoro. HEADER: via l'etichetta ""Account"", identica per tutti e muta su cosa contenesse; il bottone visibile porta al lavoro e dipende dal ruolo (""Il mio lavoro"" / ""I miei lavori""), la configurazione e' un'icona UserCog accanto - non Settings, che nello stesso header e' gia' il pannello Admin. Quattro redirect 307 in next.config.mjs, con i due casi speciali PRIMA del jolly. Aggiunti /impostazioni a robots.ts e a ProBanner. TROVATO CON LA PROVA SULLE ROTTE, non leggendo il file: il jolly scritto :sezione* combaciava anche con ZERO segmenti, quindi /dashboard nudo rimbalzava su /impostazioni e l'area di lavoro era irraggiungibile - corretto in :sezione+. RESTA PER CHIUDERLA: controllo dal vivo dopo il deploy (desktop e 390px), con attenzione al bottone del ruolo nel header e al ritorno dal guscio delle impostazioni."
M4,10.15,,Internal,Lucio,Open,2026-08-19,2026-09-05,"registraGiro() anche al return finale di api/cron/verifica-piva, con i contatori confermati/daEsaminare/ancoraGiu gia' calcolati nel corpo. Oggi la chiamata sta solo sul ramo casi.length === 0, e si vede: 11 giri su 11 scrivono esaminati 0. Un semaforo verde che dimostra solo che il processo parte. Con l'outreach di ottobre serve sapere cosa ha fatto."
M6,G08,,Internal,Lucio,Open,2026-11-01,2026-11-25,"Cancellazione account self-service. NON fatta oggi di proposito, e la ragione va scritta: ratings.customer_id e' NOT NULL con ON DELETE CASCADE (mig 012), quindi cancellare un cliente cancella le sue 14 recensioni invece di de-identificarle - il contrario di quello che chiede la regola sulle recensioni (G16). Un bottone di cancellazione costruito prima di quel cambio distrugge dati che devono restare. Ordine: prima customer_id nullable + SET NULL + ""Utente eliminato"" nella UI, poi il bottone. Intanto /dashboard/accesso dichiara il diritto e la strada manuale invece di tacerlo."
M7,P2.16,,Shared,Lucio,Open,2026-08-19,2026-09-30,"Scadenza e decadenza del codice fondatori. Verificato il 19/08: BOB-FOUNDER-2026 ha max_uses NULL e expires_at NULL, cioe' Bob Business gratis, illimitato e senza scadenza per chiunque abbia il codice. Il piano del 18/08 da' per scontato che i promo dei primi sessanta scadano a febbraio: nel database non c'e' niente che scada. Con 3 pro non e' un problema, da ottobre con il codice in giro per l'outreach lo diventa. Serve: un tetto, una scadenza, e un declassamento mai automatico (preavviso + motivazione, art. 4 P2B). /dashboard/piano oggi dice la verita' al pro - ""non ha una data di scadenza"" - il che rende il problema visibile invece che implicito."
M6,PWD2,,Client/Pro,Claude,In progress,2026-08-19,2026-08-26,"Doppia password all'iscrizione. Il form aveva UN solo campo e nessun controllo di lunghezza lato client, con placeholder e minLength ancora a 6 mentre Supabase rifiuta sotto gli 8 dal 9 agosto: chi sbagliava a digitare si registrava con una password che non conosceva e l'unica uscita era 'password dimenticata'. Funziona - quella mail la manda Supabase, non Resend - ma e' un giro che non deve servire, e a ottobre lo farebbe un professionista appena reclutato al telefono. Ora: secondo campo in iscrizione, avviso immediato se non coincidono, soglia PASSWORD_MIN=8 in una costante sola. CONDIZIONE PER CHIUDERLA: push, deploy e una prova di iscrizione vera."
